,name,total
0,Cabernet Sauvignon,12
1,Merlot,11
2,Chardonnay,6
3,Pinot Noir,3
4,Shiraz/Syrah,3
5,Plavac Mali,1
6,Furmint,1
7,Weissburgunder,1
8,Feteasca Neagra,1
9,Spätburgunder,1
10,Chasselas,1
11,Agiorgitiko,1
12,Garnacha,1
13,Tinta Roriz,1
14,Touriga Franca,1
15,Touriga Nacional,1
16,Carménère,1
17,Tempranillo,1
18,Sangiovese,1
19,Riesling,1
20,Malbec,1
