,code,country_name,rating,ratings_sum
0,it,Italie,3.63,467941
1,fr,France,3.07,405061
2,us,États-Unis,3.7,102332
3,es,Espagne,3.38,49032
4,ar,Argentine,4.32,16951
5,cl,Chili,4.12,14080
6,za,Afrique du Sud,3.66,5636
7,pt,Portugal,3.93,5532
8,md,Moldavie,3.87,4194
9,au,Australie,2.83,3804
10,hu,Hongrie,3.17,3010
